> THE ASSIGNMENT EVIDENCE. Every line below is a row-id -> blocker assignment
> that a COMMITTED source states. Nothing here is this wave's own inference:
> the evidence_class column says which committed source, and the source and
> locator columns say where to read it. A GAP row not named here is UNASSIGNED
> in `blocker-map.tsv`, and the UNASSIGNED count is the point of the exercise.
>
> WHY THIS FILE EXISTS. `_audit/2026-09-03-linkedin-gap-blockers.md` assigned
> all 409 census GAP rows to 97 blockers and published ONLY THE COUNTS. The
> classifier that produced the split was never committed -- `git log -S` across
> all history finds it nowhere -- so no per-blocker count in this repository
> could be audited, and a re-cost could not be told from a miscount. This file
> is the recoverable part of that mapping, and it is deliberately SMALL.
> EVIDENCE CLASSES, strongest first:
>   LEDGER-EXPLICIT   the 2026-09-03 ledger's own body names these ids for this
>                     blocker. The nearest thing to the lost classifier that
>                     exists, because it is the classifier's author writing.
>   LEDGER-AMENDMENT  an amendment appended to that ledger names them.
>   RECON-CENSUS-COMMITTED
>                     RECONSTRUCTED by a later wave in a tracked document, AND
>                     the census tree then acted on it -- commit 990bbd3 moved
>                     exactly these rows GAP -> EXCLUDED-RULED. NOTE WHAT THAT
>                     DOES AND DOES NOT BUY: it upgrades the assignment from
>                     prose to a commit a clone can reproduce, and it does NOT
>                     corroborate correctness, because the editor of 990bbd3
>                     was acting on that same reconstruction. Propagation is
>                     not confirmation.
>   RECON-DOC         reconstructed in a tracked document, nothing acted on it.
> ID GRAMMAR. Ids are slice-qualified (`J` jobs, `P` profile, `M` messaging-
> and-content, `N` network) because the slices reuse bare ids. Where a source
> writes an unqualified short form the qualification is recorded in `note` and
> was settled BY MEASUREMENT, never by guess: `M 24`, `M 38` and `M 42` are
> shorthand, because bare `M 24` / `M 38` / `M 42` are ABSENT from the census
> while `M M24` / `M M38` / `M M42` are present and read as the source
> describes them.
> Lines beginning `>` are commentary. Data lines are tab-separated:
> blocker <TAB> row_id <TAB> evidence_class <TAB> source <TAB> locator <TAB> note
blocker	row_id	evidence_class	source	locator	note
FILE-UPLOAD-UNSANCTIONED	J 70	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L373	section 5 item 1 lists all sixteen rows verbatim
FILE-UPLOAD-UNSANCTIONED	J 146	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L373	section 5 item 1 lists all sixteen rows verbatim
FILE-UPLOAD-UNSANCTIONED	J 147	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L373	section 5 item 1 lists all sixteen rows verbatim
FILE-UPLOAD-UNSANCTIONED	J 148	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L373	section 5 item 1 lists all sixteen rows verbatim
FILE-UPLOAD-UNSANCTIONED	J 149	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L373	section 5 item 1 lists all sixteen rows verbatim
FILE-UPLOAD-UNSANCTIONED	M C3	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L373	section 5 item 1 lists all sixteen rows verbatim
FILE-UPLOAD-UNSANCTIONED	M C4	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L373	section 5 item 1 lists all sixteen rows verbatim
FILE-UPLOAD-UNSANCTIONED	M C5	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L373	section 5 item 1 lists all sixteen rows verbatim
FILE-UPLOAD-UNSANCTIONED	M C6	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L373	section 5 item 1 lists all sixteen rows verbatim
FILE-UPLOAD-UNSANCTIONED	M C7	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L373	section 5 item 1 lists all sixteen rows verbatim
FILE-UPLOAD-UNSANCTIONED	M C27	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L373	section 5 item 1 lists all sixteen rows verbatim
FILE-UPLOAD-UNSANCTIONED	M C45	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L373	section 5 item 1 lists all sixteen rows verbatim
FILE-UPLOAD-UNSANCTIONED	M C86	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L373	section 5 item 1 lists all sixteen rows verbatim
FILE-UPLOAD-UNSANCTIONED	M M14	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L373	section 5 item 1 lists all sixteen rows verbatim
FILE-UPLOAD-UNSANCTIONED	M M15	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L373	section 5 item 1 lists all sixteen rows verbatim
FILE-UPLOAD-UNSANCTIONED	M M18	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L373	section 5 item 1 lists all sixteen rows verbatim
JOB-SEARCH-PARAMS	J 9	LEDGER-EXPLICIT	_audit/2026-09-03-linkedin-gap-blockers.md	L381	section 5 item 2 states the six rows
